VELOCIDAD;VSP_MEN_16;VSP_MAY_16
0;0.9;0.9
1;0.9;0.9
2;0.9;0.9
3;1;1
4;1.333;1.333
5;1.667;1.667
6;1.2;2
7;1.4;2.333
8;1.6;2.667
9;1.286;1.8
10;1.429;2
11;1.571;2.2
12;1.714;2.4
13;1;2.6
14;1.077;2.8
15;1.154;3
16;1.231;3.2
17;1.308;3.4
18;1.385;3.6
19;1.462;3.8
20;1.538;4
21;1.615;4.2
22;1.692;4.4
23;1.769;4.6
24;1.846;4.8
25;1.923;5
26;2;5.2
27;2.077;5.4
28;2.154;5.6
29;2.231;5.8
30;2.308;6
31;2.385;6.2
32;2.462;6.4
33;4.538;6.6
34;2.615;6.8
35;2.692;7
36;2.769;7.2
37;2.846;7.4
38;2.923;7.6
39;3;7.8
40;3.077;8
41;3.154;8.2
42;3.231;8.4
43;3.308;8.6
44;3.385;8.8
45;3.462;9
46;3.538;9.2
47;3.615;9.4
48;3.692;9.6
49;3.769;9.8
